"id","provincia","ubigeo","departamento_id"
1,CHACHAPOYAS,"0101",1
2,BAGUA,"0102",1
3,BONGARA,"0103",1
4,CONDORCANQUI,"0104",1
5,LUYA,"0105",1
6,RODRIGUEZ DE MENDOZA,"0106",1
7,UTCUBAMBA,"0107",1
8,HUARAZ,"0201",2
9,AIJA,"0202",2
10,ANTONIO RAYMONDI,"0203",2
11,ASUNCION,"0204",2
12,BOLOGNESI,"0205",2
13,CARHUAZ,"0206",2
14,CARLOS FERMIN FITZCARRALD,"0207",2
15,CASMA,"0208",2
16,CORONGO,"0209",2
17,HUARI,"0210",2
18,HUARMEY,"0211",2
19,HUAYLAS,"0212",2
20,MARISCAL LUZURIAGA,"0213",2
21,OCROS,"0214",2
22,PALLASCA,"0215",2
23,POMABAMBA,"0216",2
24,RECUAY,"0217",2
25,SANTA,"0218",2
26,SIHUAS,"0219",2
27,YUNGAY,"0220",2
28,ABANCAY,"0301",3
29,ANDAHUAYLAS,"0302",3
30,ANTABAMBA,"0303",3
31,AYMARAES,"0304",3
32,COTABAMBAS,"0305",3
33,CHINCHEROS,"0306",3
34,GRAU,"0307",3
35,AREQUIPA,"0401",4
36,CAMANA,"0402",4
37,CARAVELI,"0403",4
38,CASTILLA,"0404",4
39,CAYLLOMA,"0405",4
40,CONDESUYOS,"0406",4
41,ISLAY,"0407",4
42,LA UNION,"0408",4
43,HUAMANGA,"0501",5
44,CANGALLO,"0502",5
45,HUANCA SANCOS,"0503",5
46,HUANTA,"0504",5
47,LA MAR,"0505",5
48,LUCANAS,"0506",5
49,PARINACOCHAS,"0507",5
50,PAUCAR DEL SARA SARA,"0508",5
51,SUCRE,"0509",5
52,VICTOR FAJARDO,"0510",5
53,VILCAS HUAMAN,"0511",5
54,CAJAMARCA,"0601",6
55,CAJABAMBA,"0602",6
56,CELENDIN,"0603",6
57,CHOTA,"0604",6
58,CONTUMAZA,"0605",6
59,CUTERVO,"0606",6
60,HUALGAYOC,"0607",6
61,JAEN,"0608",6
62,SAN IGNACIO,"0609",6
63,SAN MARCOS,"0610",6
64,SAN MIGUEL,"0611",6
65,SAN PABLO,"0612",6
66,SANTA CRUZ,"0613",6
67,CALLAO,"0701",7
68,CUSCO,"0801",8
69,ACOMAYO,"0802",8
70,ANTA,"0803",8
71,CALCA,"0804",8
72,CANAS,"0805",8
73,CANCHIS,"0806",8
74,CHUMBIVILCAS,"0807",8
75,ESPINAR,"0808",8
76,LA CONVENCION,"0809",8
77,PARURO,"0810",8
78,PAUCARTAMBO,"0811",8
79,QUISPICANCHI,"0812",8
80,URUBAMBA,"0813",8
81,HUANCAVELICA,"0901",9
82,ACOBAMBA,"0902",9
83,ANGARAES,"0903",9
84,CASTROVIRREYNA,"0904",9
85,CHURCAMPA,"0905",9
86,HUAYTARA,"0906",9
87,TAYACAJA,"0907",9
88,HUANUCO,"1001",10
89,AMBO,"1002",10
90,DOS DE MAYO,"1003",10
91,HUACAYBAMBA,"1004",10
92,HUAMALIES,"1005",10
93,LEONCIO PRADO,"1006",10
94,MARAÑON,"1007",10
95,PACHITEA,"1008",10
96,PUERTO INCA,"1009",10
97,LAURICOCHA,"1010",10
98,YAROWILCA,"1011",10
99,ICA,"1101",11
100,CHINCHA,"1102",11
101,NAZCA,"1103",11
102,PALPA,"1104",11
103,PISCO,"1105",11
104,HUANCAYO,"1201",12
105,CONCEPCION,"1202",12
106,CHANCHAMAYO,"1203",12
107,JAUJA,"1204",12
108,JUNIN,"1205",12
109,SATIPO,"1206",12
110,TARMA,"1207",12
111,YAULI,"1208",12
112,CHUPACA,"1209",12
113,TRUJILLO,"1301",13
114,ASCOPE,"1302",13
115,BOLIVAR,"1303",13
116,CHEPEN,"1304",13
117,JULCAN,"1305",13
118,OTUZCO,"1306",13
119,PACASMAYO,"1307",13
120,PATAZ,"1308",13
121,SANCHEZ CARRION,"1309",13
122,SANTIAGO DE CHUCO,"1310",13
123,GRAN CHIMU,"1311",13
124,VIRU,"1312",13
125,CHICLAYO,"1401",14
126,FERREÑAFE,"1402",14
127,LAMBAYEQUE,"1403",14
128,LIMA,"1501",15
129,BARRANCA,"1502",15
130,CAJATAMBO,"1503",15
131,CANTA,"1504",15
132,CAÑETE,"1505",15
133,HUARAL,"1506",15
134,HUAROCHIRI,"1507",15
135,HUAURA,"1508",15
136,OYON,"1509",15
137,YAUYOS,"1510",15
138,MAYNAS,"1601",16
139,ALTO AMAZONAS,"1602",16
140,LORETO,"1603",16
141,MARISCAL RAMON CASTILLA,"1604",16
142,REQUENA,"1605",16
143,UCAYALI,"1606",16
144,DATEM DEL MARAÑON,"1607",16
145,PUTUMAYO,"1608",16
146,TAMBOPATA,"1701",17
147,MANU,"1702",17
148,TAHUAMANU,"1703",17
149,MARISCAL NIETO,"1801",18
150,GENERAL SANCHEZ CERRO,"1802",18
151,ILO,"1803",18
152,PASCO,"1901",19
153,DANIEL ALCIDES CARRION,"1902",19
154,OXAPAMPA,"1903",19
155,PIURA,"2001",20
156,AYABACA,"2002",20
157,HUANCABAMBA,"2003",20
158,MORROPON,"2004",20
159,PAITA,"2005",20
160,SULLANA,"2006",20
161,TALARA,"2007",20
162,SECHURA,"2008",20
163,PUNO,"2101",21
164,AZANGARO,"2102",21
165,CARABAYA,"2103",21
166,CHUCUITO,"2104",21
167,EL COLLAO,"2105",21
168,HUANCANE,"2106",21
169,LAMPA,"2107",21
170,MELGAR,"2108",21
171,MOHO,"2109",21
172,SAN ANTONIO DE PUTINA,"2110",21
173,SAN ROMAN,"2111",21
174,SANDIA,"2112",21
175,YUNGUYO,"2113",21
176,MOYOBAMBA,"2201",22
177,BELLAVISTA,"2202",22
178,EL DORADO,"2203",22
179,HUALLAGA,"2204",22
180,LAMAS,"2205",22
181,MARISCAL CACERES,"2206",22
182,PICOTA,"2207",22
183,RIOJA,"2208",22
184,SAN MARTIN,"2209",22
185,TOCACHE,"2210",22
186,TACNA,"2301",23
187,CANDARAVE,"2302",23
188,JORGE BASADRE,"2303",23
189,TARATA,"2304",23
190,TUMBES,"2401",24
191,CONTRALMIRANTE VILLAR,"2402",24
192,ZARUMILLA,"2403",24
193,CORONEL PORTILLO,"2501",25
194,ATALAYA,"2502",25
195,PADRE ABAD,"2503",25
196,PURUS,"2504",25
